176;Szépen kérlek!;Pretty please!
180;Ilyen közel voltam ahhoz, hogy felmondjak a munkahelyemen.;I came this close to quitting my job.
178;Ne aggódj! Majd kitalálod, mi legyen!;Don't worry. You'll figure it out.
162;Elõször nem tudtam, mire véljem.;I didn't know what to make of it at first.
174;Vigyázz! A kabátod beakadt az ajtóba!;Watch out! Your coat got caught in the door.
187;Számomra ez egy valóra vált álom.;For me, this is like a dream com true.
189;Feltétlenül menj haza, és pihenj egyet!;By all means, go home and get some rest!
173;Erõsen gyanítom, hogy még mindig haragszik rám.;I strongly suspect he's still mad at me.
163;Sosem volt vele egyetlen problémám sem.;I've never had a single problem with it.
54;Hogy ment? Jól alakult?;How did it go? Did it turn out okay?
177;Nem, nem rajtad nevetek. Megnyugodnál?;No, I'm not laughing at you. Relax, will you?
